Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Full Name;Rank;Remarks;start_date;start_notification;end_date;end_notification;party;notes;valid
Animalia;Chordata;Mammalia;Sirenia;Dugongidae;Dugong;dugon;;Dugong dugon;SPECIES;;21/12/1992;CITES Notif. No. 707;;;Egypt;All exports.;true
Animalia;Chordata;Aves;;;;;;Aves;CLASS;;05/08/2008;CITES Notif. No. 2008/008;;;Philippines;Import suspension for birds and bird specimens of wild origin into the Philippines for  birds originating in countries either infected or suspected to be infected by the avian influenza. ;true
Animalia;Chordata;Aves;;;;;;Aves;CLASS;;16/01/2006;CITES Notif. No. 2006/006;;;Argentina;The export of all live specimens of native species of birds (with the exception of: species subject to management plans and export quotas [namely: <i>Amazona aestiva, Aratinga acuticaudata, Aratinga mitrata, Myiopsitta monachus, Nandayus nenday, and Pionu;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Bahrain;All exports.;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;01/03/2013;CITES Notif. No. 2013/008;;;Russian Federation;The import of <i>Falco cherrug</i> and hybrids thereof into the Russian Federation is allowed only after issuance of an import permit by the Russian CITES Management Authority, regardless of the origin of the birds. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Iran (Islamic Republic of);Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Kazakhstan;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Trioceros;feae;;Trioceros feae;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Equatorial Guinea;All exports.;true
Animalia;Chordata;Reptilia;Sauria;Cordylidae;Cordylus;mossambicus;;Cordylus mossambicus;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Mozambique;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Cordylidae;Cordylus;tropidosternum;;Cordylus tropidosternum;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Mozambique;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Gekkonidae;Phelsuma;;;Phelsuma;GENUS;;12/08/2014;CITES Notif. No. 2014/039;;;Madagascar;All exports, except <i>P. grandis, P. kochi, P. laticauda, P. lineata, P. madagascariensis</i> and <i>P. quadriocellata</i>.;true
Animalia;Chordata;Reptilia;Sauria;Gekkonidae;Phelsuma;comorensis;;Phelsuma comorensis;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Comoros;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Gekkonidae;Phelsuma;v-nigra;;Phelsuma v-nigra;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Comoros;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Scincidae;Corucia;zebrata;;Corucia zebrata;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Solomon Islands;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Varanidae;Varanus;griseus;;Varanus griseus;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eryx;jaculus;;Eryx jaculus;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;beniensis;;Eunectes beniensis;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;deschauenseei;;Eunectes deschauenseei;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;murinus;;Eunectes murinus;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;notaeus;;Eunectes notaeus;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Gongylophis;colubrinus;;Gongylophis colubrinus;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports. Trade ban issued under the synonym <i>Eryx colubrinus</i>.;true
Animalia;Chordata;Reptilia;Serpentes;Elapidae;Naja;atra;;Naja atra;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Serpentes;Elapidae;Naja;kaouthia;;Naja kaouthia;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Serpentes;Elapidae;Naja;siamensis;;Naja siamensis;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Serpentes;Pythonidae;Python;bivittatus;;Python bivittatus;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
Animalia;Chordata;Reptilia;Serpentes;Pythonidae;Python;molurus;;Python molurus;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
Animalia;Chordata;Reptilia;Serpentes;Pythonidae;Python;natalensis;;Python natalensis;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
Animalia;Chordata;Reptilia;Serpentes;Pythonidae;Python;reticulatus;;Python reticulatus;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Pythonidae;Python;sebae;;Python sebae;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
Animalia;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;mydas;;Chelonia mydas;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Testudines;Cheloniidae;Eretmochelys;imbricata;;Eretmochelys imbricata;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Testudines;Geoemydidae;Cuora;galbinifrons;;Cuora galbinifrons;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Testudines;Geoemydidae;Heosemys;annandalii;;Heosemys annandalii;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Testudines;Geoemydidae;Heosemys;grandis;;Heosemys grandis;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Testudines;Testudinidae;Malacochersus;tornieri;;Malacochersus tornieri;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;United Republic of Tanzania;All exports, except specimens produced from ranching /captive-breeding operations for which an annual export quota has to be agreed between the Management Authority and the Secretariat.;true
Animalia;Chordata;Reptilia;Testudines;Testudinidae;Stigmochelys;pardalis;;Stigmochelys pardalis;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Democratic Republic of the Congo;All exports. ;true
Animalia;Chordata;Reptilia;Testudines;Testudinidae;Testudo;graeca;;Testudo graeca;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Testudines;Testudinidae;Testudo;kleinmanni;;Testudo kleinmanni;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Testudines;Trionychidae;Trionyx;triunguis;;Trionyx triunguis;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Acipenser;mikadoi;;Acipenser mikadoi;SPECIES;;11/08/2014;CITES Notif. No. 2014/036;;;United States of America;Illegal to import into or export from the United States, including live or dead specimens, parts or products.;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Acipenser;naccarii;;Acipenser naccarii;SPECIES;;11/08/2014;CITES Notif. No. 2014/036;;;United States of America;Illegal to import into or export from the United States, including live or dead specimens, parts or products.;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Acipenser;sinensis;;Acipenser sinensis;SPECIES;;11/08/2014;CITES Notif. No. 2014/036;;;United States of America;Illegal to import into or export from the United States, including live or dead specimens, parts or products.;true
Plantae;;;Cycadales;Zamiaceae;;;;Zamiaceae;FAMILY;;12/08/2014;CITES Notif. No. 2014/039;;;Mozambique;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Trioceros;feae;;Trioceros feae;SPECIES;Issued for synonym Chamaeleo feae;02/05/2013;CITES Notif. No. 2013/013;;;Equatorial Guinea;All exports. Suspension originally formed for the synonym <i>Chamaeleo feae</i> prior to taxonomic changes adopted at CoP16.;true
;;;;;;;;;;;19/03/2015;CITES Notif. No. 2015/013;;;Lao People's Democratic Republic;All commercial trade in specimens of CITES-listed species. ;true
;;;;;;;;;;;19/03/2015;CITES Notif. No. 2015/014;;;Nigeria;All commercial trade in specimens of CITES-listed species. ;true
;;;;;;;;;;;02/04/2014;CITES Notif. No. 2014/017 ;;;Democratic Republic of the Congo;"Validity of CITES export permits or certificates apparently issued by the Democratic Republic of the Congo to be confirmed by the Secretariat.
";true
;;;;;;;;;;;17/05/2013;CITES Notif. No. 2013/018;;;Afghanistan;All exports.;true
;;;;;;;;;;;17/05/2013;CITES Notif. No. 2013/020;;;Lesotho;All exports.;true
;;;;;;;;;;;16/05/2013;CITES Notif. No. 2013/017;;;Guinea;All exports.;true
;;;;;;;;;;;19/01/2011;CITES Notif. No. 2011/010;;;Djibouti;All commercial trade in specimens of CITES-listed species.;true
;;;;;;;;;;;29/11/2010;CITES Notif. No. 2010/038;;;Philippines;The export of CITES-listed aquatic species (an exemption may be granted for limited quantities if collection has been authorized by the prior issuance of a special permit and the export is for scientific purposes).;true
;;;;;;;;;;;14/12/2006;CITES Notif. No. 2006/074;;;Somalia;All commercial trade in specimens of CITES-listed species.;true
;;;;;;;;;;;19/09/2005;CITES Notif. No. 2005/054;;;Afghanistan;The export of CITES-listed species for commercial purposes.;true
;;;;;;;;;;;30/07/2004;CITES Notif. No. 2004/055;;;Mauritania;All commercial trade in specimens of CITES-listed species.;true
;;;;;;;;;;;30/07/2004;CITES Notif. No. 2004/055;;;Somalia;All commercial trade in specimens of CITES-listed species.;true
;;;;;;;;;;;30/04/2004;CITES Notif. No. 2004/025;;;Israel;"The import of potentially invasive animals, wildlife for circus activities, and poisonous animals or plants except under rare circumstances; and the export of native wildlife (exceptions may be made inter alia for scientific or educational purposes).";true
;;;;;;;;;;;31/05/1999;CITES Notif. No. 1999/39;;;India;Exports of wild-taken specimens for commercial purposes, with the exception of cultivated varieties of plant species included in Appendices I and II.;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Acipenser;sturio;;Acipenser sturio;SPECIES;;11/08/2014;CITES Notif. No. 2014/036;;;United States of America;Illegal to import into or export from the United States, including live or dead specimens, parts or products. ;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Huso;dauricus;;Huso dauricus;SPECIES;;11/08/2014;CITES Notif. No. 2014/036;;;United States of America;Illegal to import into or export from the United States, including live or dead specimens, parts or products.;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Huso;huso;;Huso huso;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Kazakhstan;All exports. ;true
Animalia;Chordata;Actinopterygii;Acipenseriformes;Acipenseridae;Huso;huso;;Huso huso;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Russian Federation;All exports. ;true
Animalia;Chordata;Actinopterygii;Syngnathiformes;Syngnathidae;Hippocampus;kuda;;Hippocampus kuda;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Viet Nam;All exports. ;true
Animalia;Arthropoda;Arachnida;Scorpiones;Scorpionidae;Pandinus;imperator;;Pandinus imperator;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Benin;All exports. ;true
Animalia;Arthropoda;Arachnida;Scorpiones;Scorpionidae;Pandinus;imperator;;Pandinus imperator;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Ghana;All exports. ;true
Animalia;Arthropoda;Arachnida;Scorpiones;Scorpionidae;Pandinus;imperator;;Pandinus imperator;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Togo;All exports. ;true
Animalia;Arthropoda;Insecta;Lepidoptera;Papilionidae;Ornithoptera;priamus;urvillianus;Ornithoptera priamus urvillianus;SUBSPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Solomon Islands;All exports. ;true
Animalia;Arthropoda;Insecta;Lepidoptera;Papilionidae;Ornithoptera;victoriae;;Ornithoptera victoriae;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Solomon Islands;All exports. ;true
Animalia;Mollusca;Gastropoda;Mesogastropoda;Strombidae;Strombus;gigas;;Strombus gigas;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Grenada;All exports. ;true
Animalia;Mollusca;Gastropoda;Mesogastropoda;Strombidae;Strombus;gigas;;Strombus gigas;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Haiti;All exports. ;true
Animalia;Cnidaria;Anthozoa;;;;;;Anthozoa;CLASS;;15/08/2003;CITES Notif. No. 2003/049;;;Jordan;No import into or export from Jordan of corals is allowed except for scientific purposes and under permits granted by the Management Authority.;true
Plantae;;;Caryophyllales;Cactaceae;;;;Cactaceae;FAMILY;;22/12/2009;CITES Notif. No. 2009/053;;;Peru;The export of specimens of all species of wild cacti is prohibited, except for cut flowers, specimens intended for scientific research and artificially-propagated specimens.;true
Plantae;;;Pinales;Cupressaceae;Fitzroya;cupressoides;;Fitzroya cupressoides;SPECIES;;10/01/2014;CITES Notif. No. 2014/002;;;Chile;The Management Authority of Chile requests Parties not to accept any export permits issued for pre-Convention wood of <i>Fitzroya cupressoides</i> except permits issued to Sociedad Agrícola y Forestal Esmeralda Sur Limitada.;true
Plantae;;;Cycadales;Cycadaceae;;;;Cycadaceae;FAMILY;;12/08/2014;CITES Notif. No. 2014/039;;;Mozambique;All exports. ;true
Plantae;;;Ebenales;Ebenaceae;Diospyros;;;Diospyros;GENUS;;22/05/2015;CITES Notif. No. 2015/029;;;Madagascar;Zero export quota for <i>Diospyros</i> species until 15 January 2016 communicated by the CITES Management Authority of Madagascar.;true
Plantae;;;Fabales;Leguminosae;Dalbergia;;;Dalbergia;GENUS;;22/05/2015;CITES Notif. No. 2015/029;;;Madagascar;Zero export quota for <i>Dalbergia</i> species until 15 January 2016 communicated by the CITES Management Authority of Madagascar.;true
Plantae;;;Fabales;Leguminosae;Pericopsis;elata;;Pericopsis elata;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Côte d'Ivoire;All exports. ;true
Plantae;;;Orchidales;Orchidaceae;;;;Orchidaceae;FAMILY;;22/12/2009;CITES Notif. No. 2009/053;;;Peru;The export of specimens of all species of wild orchids is prohibited, except for cut flowers, specimens intended for scientific research and artificially-propagated specimens.;true
Plantae;;;Orchidales;Orchidaceae;;;;Orchidaceae;FAMILY;;08/04/1991;CITES Notif. No. 629;;;Papua New Guinea;The export of wild collected orchids. Scientific institutions may be granted export authorizations in compliance with certain provisions.;true
Plantae;;;Orchidales;Orchidaceae;Dendrobium;nobile;;Dendrobium nobile;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Plantae;;;Orchidales;Orchidaceae;Myrmecophila;tibicinis;;Myrmecophila tibicinis;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Belize;All exports. ;true
Plantae;;;Rosales;Rosaceae;Prunus;africana;;Prunus africana;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Equatorial Guinea;All exports. ;true
Plantae;;;Rosales;Rosaceae;Prunus;africana;;Prunus africana;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;United Republic of Tanzania;All exports. ;true
Plantae;;;Cycadales;Stangeriaceae;;;;Stangeriaceae;FAMILY;;12/08/2014;CITES Notif. No. 2014/039;;;Mozambique;All exports. ;true
